time,bus_voltage,array_charge_limit,array_discharge_limit,pack1_soc,pack1_voltage,pack1_cell_v,pack1_temp,pack1_current,pack1_charge_limit,pack1_discharge_limit,pack1_mode,pack2_soc,pack2_voltage,pack2_cell_v,pack2_temp,pack2_current,pack2_charge_limit,pack2_discharge_limit,pack2_mode,pack3_soc,pack3_voltage,pack3_cell_v,pack3_temp,pack3_current,pack3_charge_limit,pack3_discharge_limit,pack3_mode
222.0,1144.2860925095847,943.074608091467,1494.2149216182934,53.50764882091161,1144.3174602969716,3.7153164295356222,39.18927654951759,152.25176907673236,330.3461419090043,501.2692283818009,CONNECTED,58.16731620251077,1144.3033092998091,3.71527048473964,39.68253834515991,63.90075569353349,324.046812420933,500.00936248418657,CONNECTED,61.678374364194966,1144.2807037908394,3.715197090229998,40.44093049245459,-16.15252477027594,314.35820269715566,498.07164053943114,CONNECTED
223.0,1144.3005544238752,943.0682690897438,1494.2136538179486,53.5405627379477,1144.3318627289477,3.715363190678402,39.18685050058057,151.97127224680733,330.3772601661749,501.27545203323496,CONNECTED,58.18114599588174,1144.3177588518924,3.7153173988697805,39.68123567788696,63.855398650748995,324.0635091819531,500.0127018363906,CONNECTED,61.674939756795325,1144.2952741858987,3.7152443967074635,40.441086278628404,-15.826670897544851,314.35608969658125,498.0712179393162,CONNECTED
224.0,1144.3150276176073,943.0622869006693,1494.2124573801339,53.57341616521252,1144.3462767006552,3.7154099892878416,39.18442950508373,151.6919767898252,330.40831359256873,501.28166271851376,CONNECTED,58.194966050549944,1144.3322197900545,3.7153643499677096,39.67993476881545,63.810432776640184,324.0801833230469,500.0160366646094,CONNECTED,61.67157551860816,1144.3098553396835,3.7152917381158557,40.44123283369128,-15.502409566467197,314.3540956335564,498.0708191267113,CONNECTED
225.0,1144.3295120493979,943.0566591862548,1494.2113318372508,53.60620936175343,1144.3607021695204,3.7154568252257154,39.18201355155014,151.4138774153647,330.4393023349283,501.28786046698565,CONNECTED,58.20877645069926,1144.346692072235,3.7154113378968674,39.67863560901695,63.76585559924699,324.09683495916227,500.01936699183244,CONNECTED,61.668281305714366,1144.32444721325,3.7153391143287338,40.44137021812301,-15.179733014603952,314.3522197287516,498.0704439457503,CONNECTED
226.0,1144.3440076779557,943.0513836240763,1494.2102767248152,53.63894258547717,1144.3751390930668,3.7155036983541128,39.17960262849082,151.13696885667815,330.4702265401582,501.2940453080316,CONNECTED,58.22257727998101,1144.361175656469,3.715458362521003,39.67733818961467,63.72166465963886,324.113464204583,500.0226928409166,CONNECTED,61.66505677587142,1144.3390497677353,3.71538652521992,40.44149849200104,-14.858633516321103,314.3504612080254,498.0700922416051,CONNECTED
227.0,1144.3585144620847,943.0464579071601,1494.209291581432,53.67161609315488,1144.3895874289192,3.7155506085354517,39.177196724405235,150.86124587064944,330.5010863553175,501.3002172710635,CONNECTED,58.236368621516796,1144.3756705008902,3.7155054237041893,39.67604250178325,63.67785751191665,324.13007117293216,500.02601423458646,CONNECTED,61.66190158850541,1144.3536629643625,3.7154339706635144,40.441617715003424,-14.539103382557679,314.3488193023867,498.06976386047734,CONNECTED
228.0,1144.373032360682,943.0418797438684,1494.2083759487737,53.70423014042727,1144.4040471348014,3.715597555632472,39.17479582778191,150.58670323763474,330.531881927613,501.3063763855226,CONNECTED,58.25015055790127,1144.39017656373,3.715552521310811,39.674748536748524,63.63443172310583,324.1466559771744,500.02933119543485,CONNECTED,61.65881540470316,1144.368286764436,3.7154814505338836,40.441727946411795,-14.221134960742559,314.34729324795615,498.06945864959124,CONNECTED
229.0,1144.3875613327416,943.037646857787,1494.2075293715575,53.73678498180961,1144.418518168539,3.715644539508244,39.17239992709893,150.31333576140977,330.5626134043916,501.3125226808783,CONNECTED,58.26392317120496,1144.4046938033187,3.71559965520558,39.6734562857873,63.591384873158624,324.1632187296189,500.0326437459238,CONNECTED,61.65579788720434,1144.3829211293482,3.715528964705676,40.44182924511424,-13.904720634557654,314.345882285929,498.0691764571858,CONNECTED
230.0,1144.4021013373513,943.0337569876132,1494.2067513975226,53.76928087069687,1144.433000488058,3.7156915600261624,39.17000901082455,150.04113826901101,330.5932809331337,501.31865618662675,CONNECTED,58.27768654297704,1144.4192221780852,3.7156468252535233,39.672165740227165,63.548714554843635,324.1797595419225,500.0359519083845,CONNECTED,61.65284870039361,1144.3975660205735,3.7155765130538105,40.441921669608234,-13.58985282385726,314.3445856625377,498.0689171325075,CONNECTED
231.0,1144.4166523336971,943.0302078870437,1494.2060415774088,53.80171805936863,1144.447494051387,3.7157386170499573,39.167623067417665,149.7701056106948,330.62388466144574,501.3247769322891,CONNECTED,58.29144075424809,1144.4337616465598,3.7156940313199995,39.67087689144623,63.50641837375156,324.1962785250923,500.03925570501843,CONNECTED,61.649967510292825,1144.4122213996757,3.7156240954534923,40.44200527800347,-13.27652398443385,314.3434026290146,498.0686805258029,CONNECTED
